,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,90,85,69,17,58,59,7,97,46,88,79,82,57,93,90
1,47,5,72,42,41,42,37,79,99,30,95,78,14,90,24
2,15,62,24,31,38,92,36,33,28,21,2,38,53,9,81
3,11,21,65,26,43,8,5,93,85,48,73,33,100,18,81
4,72,48,77,81,16,74,27,68,16,40,1,74,40,64,66
5,75,53,93,31,26,47,80,27,76,43,44,81,63,54,95
6,23,1,99,45,17,8,84,95,17,21,14,69,97,58,19
7,44,98,59,4,34,28,63,3,98,20,2,50,48,42,2
8,26,17,38,4,17,98,56,80,3,35,34,0,88,32,9
9,38,27,39,13,17,19,80,99,76,36,83,13,52,78,51
10,46,74,27,57,19,81,42,23,50,60,34,58,60,20,33
11,21,66,10,66,37,2,19,26,19,98,10,57,7,58,96
12,58,30,47,29,86,27,51,0,78,100,49,62,92,99,83
13,17,26,50,40,11,79,12,98,12,10,89,38,3,48,48
14,91,64,20,9,44,75,35,63,38,84,3,8,92,42,73
15,95,71,92,3,98,45,82,34,86,17,56,6,37,69,82
16,10,21,47,31,98,34,8,16,75,28,29,48,12,41,12
17,56,38,60,82,35,48,90,84,80,35,77,91,7,93,51
18,74,23,6,49,1,10,88,32,72,84,35,43,20,53,89
19,46,47,42,0,80,86,78,22,94,35,77,29,30,6,33
20,80,52,18,65,24,70,65,2,43,60,99,68,61,3,32
21,44,3,8,75,85,0,47,39,32,50,36,71,67,28,2
22,84,0,11,99,30,18,16,74,23,71,37,72,38,90,16
